"Comunidad.Autónoma";"Provincia";"Gasto.Total.Prestación";"Gasto.Prestación.Contributiva";"Gasto.Subsidio.Desempleo";"Gasto.Renta.Activa.Inserción";"Gasto.Subsidio.Eventuales.Agrarios";"mes";"any"
"Andalucía";"Jaén";28700,32;12126,7;9824,08;1188,33;5561,21;"12";"2020"
"Andalucía";"Málaga";97922,53;65226,01;26253,3;3146,7;3296,52;"12";"2020"
"Andalucía";"Sevilla";103994,57;55208,38;33435,02;4411,83;10938,74;"12";"2020"
"Aragón";"Huesca";9193,56;7471,55;1597,09;124,92;0;"12";"2020"
"Aragón";"Teruel";5562,56;4342,48;1148,45;71,63;0;"12";"2020"
"Aragón";"Zaragoza";38146,76;29568,05;7930,19;648,52;0;"12";"2020"
"Asturias, Principado de";"Asturias";47965,55;35824,82;10990,05;1150,67;0;"12";"2020"
"Balears, Illes";"Balears, Illes";161905,61;148803,68;12284,59;817,34;0;"12";"2020"
"Canarias";"Palmas, Las";94568,5;71956,15;20006,52;2605,83;0;"12";"2020"
"Canarias";"Santa Cruz de Tenerife";78360,5;56588,67;19095,92;2675,91;0;"12";"2020"
"Cantabria";"Cantabria";26125,46;19337,51;6177,55;610,4;0;"12";"2020"
"Castilla y León";"Ávila";6454,63;4284,6;1940,86;229,17;0;"12";"2020"
"Castilla y León";"Burgos";15696,25;11667,4;3740,31;288,54;0;"12";"2020"
"Castilla y León";"León";18747,25;12951,13;5323,37;472,32;0;"12";"2020"
"Castilla y León";"Palencia";6101,55;4516,23;1442,82;142,5;0;"12";"2020"
"Castilla y León";"Salamanca";13878,78;9605,74;3862,7;410,34;0;"12";"2020"
"Castilla y León";"Segovia";5729,19;4453,62;1170,88;104,69;0;"12";"2020"
"Castilla y León";"Soria";3038,8;2398,37;599,43;41;0;"12";"2020"
"Castilla y León";"Valladolid";19897,19;15381,22;4078,1;437,87;0;"12";"2020"
"Castilla y León";"Zamora";6686,76;4394,58;2049,11;243,07;0;"12";"2020"
"Castilla - La Mancha";"Albacete";17115,93;10724,19;5575,48;816,26;0;"12";"2020"
"Castilla - La Mancha";"Ciudad Real";19728,24;10918,36;7540,36;1269,52;0;"12";"2020"
"Castilla - La Mancha";"Cuenca";6967,99;4542,78;2150,68;274,53;0;"12";"2020"
"Castilla - La Mancha";"Guadalajara";11729,96;8696,11;2760,52;273,33;0;"12";"2020"
"Castilla - La Mancha";"Toledo";30878,08;19614,38;9911,59;1352,11;0;"12";"2020"
"Cataluña";"Barcelona";328781,35;274019,77;51279,4;3482,18;0;"12";"2020"
"Cataluña";"Girona";48767,36;39777,72;8354,61;635,03;0;"12";"2020"
"Cataluña";"Lleida";18301,7;14386,29;3593,63;321,78;0;"12";"2020"
"Cataluña";"Tarragona";48005,57;37606,27;9611,33;787,97;0;"12";"2020"
"Comunitat Valenciana";"Alicante/Alacant";94706,18;64051,1;27020,23;3634,85;0;"12";"2020"
"Comunitat Valenciana";"Castellón/Castelló";23619,92;16053,25;6869,42;697,25;0;"12";"2020"
"Comunitat Valenciana";"Valencia/Valéncia";107280,53;73322,55;30028,38;3929,6;0;"12";"2020"
"Extremadura";"Badajoz";39531,52;18403,53;15333,01;1712,16;4082,79;"12";"2020"
"Extremadura";"Cáceres";22688,88;11261,04;8410,92;748,93;2267,99;"12";"2020"
"Galicia";"Coruña, A";49372,71;36554,67;11602,45;1215,59;0;"12";"2020"
"Galicia";"Lugo";11738,79;8135,74;3280,67;322,38;0;"12";"2020"
"Galicia";"Ourense";12140,76;8216,04;3575,22;349,5;0;"12";"2020"
"Galicia";"Pontevedra";41320,36;28420,78;11729,32;1170,26;0;"12";"2020"
"Madrid, Comunidad de";"Madrid";303602,76;248818,95;49978,85;4804,53;0;"12";"2020"
"Murcia, Región de";"Murcia";63234,05;45312,85;15543,87;2376,9;0;"12";"2020"
"Navarra, Comunidad Foral de";"Navarra";28643,95;23854,97;4515,8;273,18;0;"12";"2020"
"País Vasco";"Araba/Álava";14111,92;11897,86;2036,16;177,9;0;"12";"2020"
"País Vasco";"Gipuzkoa";29358,91;25218,14;3847,43;293,34;0;"12";"2020"
"País Vasco";"Bizkaia";45601,53;36750,34;8089,44;761,75;0;"12";"2020"
"Rioja, La";"Rioja, La";12932,79;10203,69;2569,42;159,68;0;"12";"2020"
"Ceuta";"Ceuta";3227,89;1666,71;1277,26;283,92;0;"12";"2020"
"Melilla";"Melilla";2760,88;1859,02;711,8;190,06;0;"12";"2020"
"TOTAL";"";2472049,33;1805754;557561,16;62248,23;46483,71;"12";"2020"
"Andalucía";"Almería";25869,55;15428,94;7873,06;1363,75;1198;"01";"2019"
"Andalucía";"Cádiz";57498,4;32312,77;18877,79;3540,49;2744,63;"01";"2019"
"Andalucía";"Córdoba";34780,36;13265,44;12044,75;1636,12;7824,18;"01";"2019"
"Andalucía";"Granada";40440,07;19925,48;13538,2;2023,45;4939,47;"01";"2019"
"Andalucía";"Huelva";29922,46;16698,36;8624,12;1180,08;3410,16;"01";"2019"
"Andalucía";"Jaén";23932,4;9152,16;7795,49;1101,35;5873,03;"01";"2019"
"Andalucía";"Málaga";70420,77;45190,91;18644,16;3137,65;3437,17;"01";"2019"
"Andalucía";"Sevilla";83854,74;39374,35;28245,23;4929,05;11271,79;"01";"2019"
"Aragón";"Huesca";6100,96;4969,27;1007,35;124,17;0;"01";"2019"
"Aragón";"Teruel";3582,33;2748,15;750,49;82,08;0;"01";"2019"
"Aragón";"Zaragoza";26928,99;21331,58;4841,79;753,7;0;"01";"2019"
"Asturias, Principado de";"Asturias";30170,08;22064,57;6839,28;1264,9;0;"01";"2019"
"Balears, Illes";"Balears, Illes";104840,59;89433,18;14869,87;537,54;0;"01";"2019"
"Canarias";"Palmas, Las";44966,01;30611,76;11626,99;2722,04;0;"01";"2019"
"Canarias";"Santa Cruz de Tenerife";38990,43;24263,97;12051,28;2666,33;0;"01";"2019"
"Cantabria";"Cantabria";18811,73;13891,32;4331,24;586,82;0;"01";"2019"
"Castilla y León";"Ávila";4908,05;3267,66;1416,02;222,52;0;"01";"2019"
"Castilla y León";"Burgos";11108,26;8401,45;2392,36;311,54;0;"01";"2019"
"Castilla y León";"León";14113,2;10140,22;3456,49;514,45;0;"01";"2019"
"Castilla y León";"Palencia";4974,73;3735,21;1086,05;152,91;0;"01";"2019"
"Castilla y León";"Salamanca";9444,77;6248,38;2755,47;438,08;0;"01";"2019"
"Castilla y León";"Segovia";3932,68;3003,2;817,81;111,23;0;"01";"2019"
"Castilla y León";"Soria";2405,79;1900,7;453,98;51,07;0;"01";"2019"
"Castilla y León";"Valladolid";13810,78;10551,3;2772,13;486,6;0;"01";"2019"
"Castilla y León";"Zamora";4994,7;3194,41;1547,08;250;0;"01";"2019"
"Castilla - La Mancha";"Albacete";13041,48;8130,3;4121,46;786,05;0;"01";"2019"
"Castilla - La Mancha";"Ciudad Real";16423,66;9346,12;5797,65;1271,27;0;"01";"2019"
"Castilla - La Mancha";"Cuenca";5297,87;3434,93;1557,54;304,25;0;"01";"2019"
"Castilla - La Mancha";"Guadalajara";8314,26;6339,8;1729,96;242,79;0;"01";"2019"
"Castilla - La Mancha";"Toledo";22332,54;13716,5;7267,82;1343,31;0;"01";"2019"
"Cataluña";"Barcelona";176060,94;137899,63;33933,48;4212,47;0;"01";"2019"
"Cataluña";"Girona";32500,1;25401,24;6471,36;617,31;0;"01";"2019"
"Cataluña";"Lleida";12830,8;9827,2;2616,11;382,68;0;"01";"2019"
"Cataluña";"Tarragona";34474,05;26202,48;7435,68;829,34;0;"01";"2019"
"Comunitat Valenciana";"Alicante/Alacant";66760,92;44665,3;18596,56;3483,96;0;"01";"2019"
"Comunitat Valenciana";"Castellón/Castelló";19376,76;13813,87;4799,8;756,32;0;"01";"2019"
"Comunitat Valenciana";"Valencia/Valéncia";79173,38;53551,39;21121,67;4485,88;0;"01";"2019"
"Extremadura";"Badajoz";33512,66;15169,05;12585,48;1591,94;4156,09;"01";"2019"
"Extremadura";"Cáceres";19836,98;9572,3;6986,38;761,51;2511,88;"01";"2019"
"Galicia";"Coruña, A";34919,59;25610,73;7967,27;1340,14;0;"01";"2019"
"Galicia";"Lugo";8507,56;5903,1;2275,66;326,98;0;"01";"2019"
"Galicia";"Ourense";8786,66;5679,48;2753,4;352,1;0;"01";"2019"
"Galicia";"Pontevedra";33694,95;23577,34;8895,42;1215,18;0;"01";"2019"
"Madrid, Comunidad de";"Madrid";184123,73;149826,68;29141,51;5140,94;0;"01";"2019"
"Murcia, Región de";"Murcia";51247,77;37235,17;11483,93;2510,86;0;"01";"2019"
"Navarra, Comunidad Foral de";"Navarra";18341,15;14906,33;3122,95;311,87;0;"01";"2019"
"País Vasco";"Araba/Álava";9105,86;7673,91;1296,48;135,46;0;"01";"2019"
"País Vasco";"Gipuzkoa";17787,03;15027,47;2519,5;238,43;0;"01";"2019"
"País Vasco";"Bizkaia";29547,48;24150,22;4871,5;525,76;0;"01";"2019"
"Rioja, La";"Rioja, La";9193,01;7313,95;1684,68;194,21;0;"01";"2019"
"Ceuta";"Ceuta";2337,06;1033,5;1052,74;249,22;0;"01";"2019"
"Melilla";"Melilla";1846,86;925,18;715,06;204,88;0;"01";"2019"
"TOTAL";"";1660177,94;1147037,91;401459,53;64003,03;47366,4;"01";"2019"
"Andalucía";"Almería";25161,01;14740,21;7888,05;1366,66;1162,56;"02";"2019"
"Andalucía";"Cádiz";54698,07;29011,99;18646,29;3569,5;3457,45;"02";"2019"
"Andalucía";"Córdoba";34007,18;13402,61;11603,05;1673,51;7319,09;"02";"2019"
"Andalucía";"Granada";39043,92;18851,82;13383,22;2041,82;4761,84;"02";"2019"
"Andalucía";"Huelva";25224;12671,92;8115,53;1171,56;3258,81;"02";"2019"
"Andalucía";"Jaén";24523,27;10401,97;7736,31;1181,02;5198,67;"02";"2019"
"Andalucía";"Málaga";66486,01;41439,42;18570,01;3080,91;3388,16;"02";"2019"
"Andalucía";"Sevilla";82872,76;38250,5;28327,67;4917,84;11352,92;"02";"2019"
"Aragón";"Huesca";5753,74;4622,54;1005,51;125,26;0;"02";"2019"
"Aragón";"Teruel";3369,47;2525,62;763,62;79,79;0;"02";"2019"
"Aragón";"Zaragoza";26274,01;20554,38;4971,24;746,83;0;"02";"2019"
"Asturias, Principado de";"Asturias";29354,75;21175,13;6921,84;1257,08;0;"02";"2019"
"Balears, Illes";"Balears, Illes";87068,35;72435,69;14072,22;560,31;0;"02";"2019"
"Canarias";"Palmas, Las";45652,74;31203,19;11763,25;2682,7;0;"02";"2019"
"Canarias";"Santa Cruz de Tenerife";39198,85;24502,51;12029,5;2660,5;0;"02";"2019"
"Cantabria";"Cantabria";18365,52;13423,46;4356,07;585,5;0;"02";"2019"
"Castilla y León";"Ávila";4560,07;2912,37;1425,07;221,63;0;"02";"2019"
"Castilla y León";"Burgos";10556,64;7813,39;2428,07;314,26;0;"02";"2019"
"Castilla y León";"León";13488,34;9490,83;3490,91;504,91;0;"02";"2019"
"Castilla y León";"Palencia";4592,21;3345,5;1084,64;162,07;0;"02";"2019"
"Castilla y León";"Salamanca";9300,54;6057,58;2793,07;448,28;0;"02";"2019"
"Castilla y León";"Segovia";3767,87;2844,05;814,81;108,71;0;"02";"2019"
"Castilla y León";"Soria";2281,69;1779,06;450,91;51,72;0;"02";"2019"
"Castilla y León";"Valladolid";13637,06;10311,37;2838,76;486,79;0;"02";"2019"
"Castilla y León";"Zamora";4941,39;3138,01;1556,26;246,6;0;"02";"2019"
"Castilla - La Mancha";"Albacete";13010,23;7979,16;4217,89;810,96;0;"02";"2019"
"Castilla - La Mancha";"Ciudad Real";16133,52;8894,75;5929,34;1304,14;0;"02";"2019"
"Castilla - La Mancha";"Cuenca";5158,84;3242,12;1606,67;309,5;0;"02";"2019"
"Castilla - La Mancha";"Guadalajara";8658,32;6496,33;1911,22;249,38;0;"02";"2019"
"Castilla - La Mancha";"Toledo";22072,25;13187,37;7507,14;1373,74;0;"02";"2019"
"Cataluña";"Barcelona";170076,71;132069,39;33795,47;4202,53;0;"02";"2019"
"Cataluña";"Girona";30168,27;23141,01;6374,19;647,73;0;"02";"2019"
"Cataluña";"Lleida";12205,02;9231,19;2590,82;379,9;0;"02";"2019"
"Cataluña";"Tarragona";33081,51;24796,47;7450,68;830,55;0;"02";"2019"
"Comunitat Valenciana";"Alicante/Alacant";64780,86;42643,65;18599,95;3525,59;0;"02";"2019"
"Comunitat Valenciana";"Castellón/Castelló";19068,57;13154,76;5149,68;760,21;0;"02";"2019"
"Comunitat Valenciana";"Valencia/Valéncia";78024,2;51813,68;21690,63;4511,47;0;"02";"2019"
"Extremadura";"Badajoz";33743,59;15014,28;12846,39;1620,17;4256,88;"02";"2019"
"Extremadura";"Cáceres";19245;9021,19;6950,33;780,25;2489,21;"02";"2019"
"Galicia";"Coruña, A";32891,05;23484,73;8058,98;1345,32;0;"02";"2019"
"Galicia";"Lugo";8420,08;5801,89;2292,08;325,12;0;"02";"2019"
"Galicia";"Ourense";8475,13;5324,72;2795,56;353,93;0;"02";"2019"
"Galicia";"Pontevedra";32307,93;22137,44;8961,92;1205,36;0;"02";"2019"
"Madrid, Comunidad de";"Madrid";184420,44;149263,74;29938,47;5204,46;0;"02";"2019"
"Murcia, Región de";"Murcia";48783,24;34735,8;11496,98;2535,7;0;"02";"2019"
"Navarra, Comunidad Foral de";"Navarra";17537,81;14056,34;3158,05;322,89;0;"02";"2019"
"País Vasco";"Araba/Álava";8782,37;7336,82;1312,55;133;0;"02";"2019"
"País Vasco";"Gipuzkoa";17281,87;14455,29;2573,59;252,99;0;"02";"2019"
"País Vasco";"Bizkaia";28143,94;22712,54;4902,24;529,16;0;"02";"2019"
"Rioja, La";"Rioja, La";8493,36;6582,58;1706,85;203,93;0;"02";"2019"
"Ceuta";"Ceuta";2287,18;1027,7;994,68;263,93;0;"02";"2019"
"Melilla";"Melilla";2036,98;1079,22;755,14;201,59;0;"02";"2019"
"TOTAL";"";1599467,73;1085589,28;402603,37;64429,26;46645,59;"02";"2019"
"Andalucía";"Almería";24361,19;14098,48;7774,42;1350,44;1136,4;"03";"2019"
"Andalucía";"Cádiz";50847,43;25415,14;18482,32;3520,67;3420,8;"03";"2019"
"Andalucía";"Córdoba";34772,28;13441;12092,99;1691,72;7540,27;"03";"2019"
"Andalucía";"Granada";38326,33;17978,73;13502,32;2022,77;4818,21;"03";"2019"
"Andalucía";"Huelva";21762,65;10181,36;7426,36;1122,07;3029,82;"03";"2019"
"Andalucía";"Jaén";29394,41;12124,07;9859,95;1255,35;6146,38;"03";"2019"
"Andalucía";"Málaga";61253,31;36092,16;18695,96;3067,82;3392,72;"03";"2019"
"Andalucía";"Sevilla";81563,63;36626,67;28607,33;4905,95;11410,63;"03";"2019"
"Aragón";"Huesca";5181,1;4032,64;1022,02;126,01;0;"03";"2019"
"Aragón";"Teruel";3090,59;2239,65;777,41;73,53;0;"03";"2019"
"Aragón";"Zaragoza";25134,42;19268,36;5129,59;735,35;0;"03";"2019"
"Asturias, Principado de";"Asturias";28186,45;19806,81;7148,02;1231,43;0;"03";"2019"
"Balears, Illes";"Balears, Illes";60541,5;46929,15;13031,35;580,7;0;"03";"2019"
"Canarias";"Palmas, Las";45151,45;30465,27;12053,44;2630,53;0;"03";"2019"
"Canarias";"Santa Cruz de Tenerife";38451,93;23598,73;12216,85;2628,45;0;"03";"2019"
"Cantabria";"Cantabria";17101,05;12187,51;4331,87;580,97;0;"03";"2019"
"Castilla y León";"Ávila";4639,36;2891,31;1528,33;219,38;0;"03";"2019"
"Castilla y León";"Burgos";10212,03;7390,14;2518,4;303,06;0;"03";"2019"
"Castilla y León";"León";13119,46;9040,4;3572,98;505,64;0;"03";"2019"
"Castilla y León";"Palencia";4409,36;3124,03;1122,08;163,25;0;"03";"2019"
"Castilla y León";"Salamanca";8917,27;5616,54;2864,14;435;0;"03";"2019"
"Castilla y León";"Segovia";3601,45;2641,28;843,35;116,82;0;"03";"2019"
"Castilla y León";"Soria";2124,79;1631,34;447,96;45,36;0;"03";"2019"
"Castilla y León";"Valladolid";13180,41;9748,86;2949,84;481,01;0;"03";"2019"
"Castilla y León";"Zamora";4714,82;2889,56;1575,88;249,38;0;"03";"2019"
"Castilla - La Mancha";"Albacete";12588,86;7439,2;4336,41;811,94;0;"03";"2019"
"Castilla - La Mancha";"Ciudad Real";15995,26;8486,03;6189,67;1316,89;0;"03";"2019"
"Castilla - La Mancha";"Cuenca";5203,37;3276,23;1629,66;297,41;0;"03";"2019"
"Castilla - La Mancha";"Guadalajara";8587,36;6342,47;1995,68;248,67;0;"03";"2019"
"Castilla - La Mancha";"Toledo";21982,77;12876,83;7747,2;1356,56;0;"03";"2019"
"Cataluña";"Barcelona";169617,96;130913,13;34533,45;4165,99;0;"03";"2019"
"Cataluña";"Girona";25596,37;18734,9;6208,6;650,59;0;"03";"2019"
"Cataluña";"Lleida";11814,33;8760,46;2676,53;375,82;0;"03";"2019"
"Cataluña";"Tarragona";29231,49;21061,94;7343,21;823,94;0;"03";"2019"
"Comunitat Valenciana";"Alicante/Alacant";60674,99;38428,07;18753,38;3485,57;0;"03";"2019"
"Comunitat Valenciana";"Castellón/Castelló";18493,94;12258,11;5461,26;773,47;0;"03";"2019"
"Comunitat Valenciana";"Valencia/Valéncia";76512,65;49990,15;22037,51;4478,78;0;"03";"2019"
"Extremadura";"Badajoz";31879,85;13366,76;12723,87;1618,15;4167,87;"03";"2019"
"Extremadura";"Cáceres";18203,29;8016,96;6983,76;779,89;2419,95;"03";"2019"
"Galicia";"Coruña, A";30982,07;21535,39;8100,8;1344,22;0;"03";"2019"
"Galicia";"Lugo";7521,07;4885,37;2309,05;326,23;0;"03";"2019"
"Galicia";"Ourense";8094,28;4936,6;2812,75;344,93;0;"03";"2019"
"Galicia";"Pontevedra";30711,37;20540,69;9002,28;1165,98;0;"03";"2019"
"Madrid, Comunidad de";"Madrid";181389,67;145144,07;31101,5;5138,43;0;"03";"2019"
"Murcia, Región de";"Murcia";45466,26;31606,59;11340,54;2510,78;0;"03";"2019"
"Navarra, Comunidad Foral de";"Navarra";16577,98;13037,33;3231,26;308,96;0;"03";"2019"
"País Vasco";"Araba/Álava";8592,93;7132,83;1324,31;135,79;0;"03";"2019"
"País Vasco";"Gipuzkoa";16117,75;13299,91;2578,36;239,48;0;"03";"2019"
"País Vasco";"Bizkaia";27797,05;22133,03;5138,54;525,48;0;"03";"2019"
"Rioja, La";"Rioja, La";8275,52;6348,3;1722,86;204,32;0;"03";"2019"
"Ceuta";"Ceuta";2351,66;1063,37;1014,42;273,38;0;"03";"2019"
"Melilla";"Melilla";1894,16;970,66;725,39;197,49;0;"03";"2019"
"TOTAL";"";1522192,93;1002044,57;408597,41;63941,8;47483,05;"03";"2019"
"Andalucía";"Almería";24268,03;13806,46;8022,57;1336,18;1100,93;"04";"2019"
"Andalucía";"Cádiz";48338,28;22803,72;18655,12;3484,54;3390,57;"04";"2019"
"Andalucía";"Córdoba";36184,49;13299,73;13443,69;1633,61;7801,26;"04";"2019"
"Andalucía";"Granada";38322,29;17060,22;14310,82;1990,26;4958,67;"04";"2019"
"Andalucía";"Huelva";19412,09;8489,17;7029,68;1076,15;2816,49;"04";"2019"
"Andalucía";"Jaén";30325,51;11850,66;10847,33;1235,45;6386,06;"04";"2019"
"Andalucía";"Málaga";57295,57;31181,7;19599,19;2990,39;3519,21;"04";"2019"
"Andalucía";"Sevilla";80573,76;34521,29;29781,56;4801;11463,05;"04";"2019"
"Aragón";"Huesca";4968,06;3731,29;1102,6;133,74;0;"04";"2019"
"Aragón";"Teruel";2973,21;2058,35;845,51;69,08;0;"04";"2019"
"Aragón";"Zaragoza";25281,37;18756,74;5809,32;714,61;0;"04";"2019"
"Asturias, Principado de";"Asturias";27769,8;18888,98;7695,33;1185,49;0;"04";"2019"
"Balears, Illes";"Balears, Illes";37248,14;26664,24;10024,88;558,72;0;"04";"2019"
"Canarias";"Palmas, Las";45717,59;29529,13;13597,93;2588,34;0;"04";"2019"
"Canarias";"Santa Cruz de Tenerife";39385,22;23504,16;13284,83;2592,79;0;"04";"2019"
"Cantabria";"Cantabria";15886,76;10722,98;4597,86;564,54;0;"04";"2019"
"Castilla y León";"Ávila";4543,6;2662,92;1673,13;207,55;0;"04";"2019"
"Castilla y León";"Burgos";10110,51;7023,13;2788,93;298,02;0;"04";"2019"
"Castilla y León";"León";12572,68;8183,35;3898,06;491,01;0;"04";"2019"
"Castilla y León";"Palencia";4103,54;2713,65;1229,35;160,54;0;"04";"2019"
"Castilla y León";"Salamanca";8852,48;5344,42;3083,5;419,17;0;"04";"2019"
"Castilla y León";"Segovia";3370,42;2360,61;895,62;114,19;0;"04";"2019"
"Castilla y León";"Soria";2123,13;1585,32;497;40,62;0;"04";"2019"
"Castilla y León";"Valladolid";13225,76;9433,84;3324,4;466,23;0;"04";"2019"
"Castilla y León";"Zamora";4582,19;2610,67;1726,39;245,13;0;"04";"2019"
"Castilla - La Mancha";"Albacete";12612,77;7060,86;4744,01;806,52;0;"04";"2019"
"Castilla - La Mancha";"Ciudad Real";16643,81;8572,42;6774,34;1295,47;0;"04";"2019"
"Castilla - La Mancha";"Cuenca";5210,92;3144,49;1776,03;290,26;0;"04";"2019"
"Castilla - La Mancha";"Guadalajara";8520,99;6099,41;2172,75;248,4;0;"04";"2019"
"Castilla - La Mancha";"Toledo";22177,71;12418,96;8413,76;1344,43;0;"04";"2019"
"Cataluña";"Barcelona";166752,02;125304,67;37382,14;4061,08;0;"04";"2019"
"Cataluña";"Girona";21621,23;15433,24;5553,23;634,33;0;"04";"2019"
"Cataluña";"Lleida";11565,26;8383,44;2812,05;368,91;0;"04";"2019"
"Cataluña";"Tarragona";24865,9;17019,77;7031,38;813,79;0;"04";"2019"
"Comunitat Valenciana";"Alicante/Alacant";58678,68;35072,14;20217,92;3385,16;0;"04";"2019"
"Comunitat Valenciana";"Castellón/Castelló";18667,07;11810,32;6099,68;755,54;0;"04";"2019"
"Comunitat Valenciana";"Valencia/Valéncia";77207,87;48418,21;24499,06;4287,19;0;"04";"2019"
"Extremadura";"Badajoz";29903,79;11831,03;12486,92;1564,91;4019,07;"04";"2019"
"Extremadura";"Cáceres";17323,56;6832,85;7308,34;734,39;2446,1;"04";"2019"
"Galicia";"Coruña, A";30349,41;20181,14;8846,41;1320,71;0;"04";"2019"
"Galicia";"Lugo";7338,73;4527,61;2499,5;311,62;0;"04";"2019"
"Galicia";"Ourense";8147,74;4700,82;3096,03;350,89;0;"04";"2019"
"Galicia";"Pontevedra";29963,16;19275,36;9558,9;1126,89;0;"04";"2019"
"Madrid, Comunidad de";"Madrid";179418,17;139473,72;34929,2;5008,62;0;"04";"2019"
"Murcia, Región de";"Murcia";44076,36;29755,79;11847,04;2468,32;0;"04";"2019"
"Navarra, Comunidad Foral de";"Navarra";16501,48;12647,47;3556,91;296,96;0;"04";"2019"
"País Vasco";"Araba/Álava";8304,06;6630,65;1548,27;125,14;0;"04";"2019"
"País Vasco";"Gipuzkoa";15780,05;12618,14;2928,23;233,68;0;"04";"2019"
"País Vasco";"Bizkaia";27515,78;20974,88;6015,36;525,54;0;"04";"2019"
"Rioja, La";"Rioja, La";8178,71;6021,01;1965,15;192,55;0;"04";"2019"
"Ceuta";"Ceuta";2281,09;1002,66;1002,88;275,36;0;"04";"2019"
"Melilla";"Melilla";1811,85;892,53;733,94;184,98;0;"04";"2019"
"TOTAL";"";1468852,65;924890,32;433564,03;62408,99;47901,41;"04";"2019"
"Andalucía";"Almería";27768,57;16729,72;8565,16;1353,08;1119,18;"05";"2019"
"Andalucía";"Cádiz";47496,83;22580,76;18154,39;3446,15;3312,91;"05";"2019"
"Andalucía";"Córdoba";36313,77;12904,61;13983,52;1629,89;7791,45;"05";"2019"
"Andalucía";"Granada";37597,42;16389,56;14303,71;1993,68;4909,04;"05";"2019"
"Andalucía";"Huelva";18817,59;8453,05;6724,76;1060,39;2577,15;"05";"2019"
"Andalucía";"Jaén";30095,06;11259,31;11186,51;1230,4;6416,44;"05";"2019"
"Andalucía";"Málaga";56091,24;29761,77;19708,39;2972,1;3646,24;"05";"2019"
"Andalucía";"Sevilla";79123,09;32905,56;29980,66;4680,35;11551,31;"05";"2019"
"Aragón";"Huesca";5486,11;4209,46;1146,75;129,48;0;"05";"2019"
"Aragón";"Teruel";2887,39;1965,61;858;63,78;0;"05";"2019"
"Aragón";"Zaragoza";24890,43;17821,7;6364,65;703,71;0;"05";"2019"
"Asturias, Principado de";"Asturias";27297,7;18383,09;7740,92;1173,69;0;"05";"2019"
"Balears, Illes";"Balears, Illes";26091,78;19304,11;6247,8;539,57;0;"05";"2019"
"Canarias";"Palmas, Las";47270,34;30808,19;13920,26;2540,05;0;"05";"2019"
"Canarias";"Santa Cruz de Tenerife";40085,13;23882,93;13665,86;2533,16;0;"05";"2019"
"Cantabria";"Cantabria";15917,48;10646,58;4712,13;558,77;0;"05";"2019"
"Castilla y León";"Ávila";4382,66;2468,77;1704,44;209,22;0;"05";"2019"
"Castilla y León";"Burgos";9858,54;6715,91;2851,17;291,46;0;"05";"2019"
"Castilla y León";"León";12687,59;7955,87;4261,88;469,83;0;"05";"2019"
"Castilla y León";"Palencia";3932,14;2510,05;1263,73;158,36;0;"05";"2019"
"Castilla y León";"Salamanca";8869,52;5321,04;3143,48;404,78;0;"05";"2019"
"Castilla y León";"Segovia";3288,91;2256,89;921,74;110,28;0;"05";"2019"
"Castilla y León";"Soria";1991,94;1456,85;494,91;40,18;0;"05";"2019"
"Castilla y León";"Valladolid";12905,58;9022,55;3435,94;446,22;0;"05";"2019"
"Castilla y León";"Zamora";4540,07;2562,02;1747,04;230,85;0;"05";"2019"
"Castilla - La Mancha";"Albacete";12236,74;6631,19;4798,82;806,07;0;"05";"2019"
"Castilla - La Mancha";"Ciudad Real";16764,13;8539,94;6956,05;1267,12;0;"05";"2019"
"Castilla - La Mancha";"Cuenca";5346,36;3213,55;1850,94;281,68;0;"05";"2019"
"Castilla - La Mancha";"Guadalajara";8254,49;5859,45;2154,6;240,01;0;"05";"2019"
"Castilla - La Mancha";"Toledo";22932,99;12516,25;9082,06;1332,77;0;"05";"2019"
"Cataluña";"Barcelona";167541,16;124559,8;38983,82;3995,14;0;"05";"2019"
"Cataluña";"Girona";20283,79;14438,31;5221,62;623,4;0;"05";"2019"
